Symbol,Date,High,Low,Open,Close
LINK,2019-07-21,2.67,2.50,2.64,2.55
LINK,2019-07-22,2.59,2.40,2.55,2.43
LINK,2019-07-23,2.50,2.26,2.42,2.37
LINK,2019-07-24,2.46,2.30,2.37,2.41
LINK,2019-07-25,2.52,2.38,2.41,2.38
LINK,2019-07-26,2.43,2.35,2.38,2.40
LINK,2019-07-27,2.46,2.23,2.40,2.26
LINK,2019-07-28,2.29,2.13,2.26,2.22
LINK,2019-07-29,2.24,2.13,2.22,2.14
LINK,2019-07-30,2.18,2.01,2.14,2.09
LINK,2019-07-31,2.22,2.08,2.09,2.20
LINK,2019-08-01,2.23,2.12,2.20,2.18
LINK,2019-08-02,2.45,2.15,2.18,2.40
LINK,2019-08-03,2.72,2.34,2.40,2.43
LINK,2019-08-04,2.60,2.42,2.42,2.50
LINK,2019-08-05,2.63,2.48,2.50,2.48
LINK,2019-08-06,2.52,2.35,2.48,2.46
LINK,2019-08-07,2.49,2.37,2.46,2.39
LINK,2019-08-08,2.40,2.29,2.40,2.29
LINK,2019-08-09,2.30,2.17,2.29,2.18
LINK,2019-08-10,2.38,2.15,2.18,2.32
LINK,2019-08-11,2.47,2.28,2.32,2.40
LINK,2019-08-12,2.46,2.35,2.41,2.38
LINK,2019-08-13,2.44,2.32,2.38,2.41
LINK,2019-08-14,2.56,2.21,2.41,2.27
LINK,2019-08-15,2.43,2.22,2.28,2.41
LINK,2019-08-16,2.44,2.25,2.41,2.32
LINK,2019-08-17,2.40,2.31,2.32,2.39
LINK,2019-08-18,2.55,2.37,2.39,2.50
LINK,2019-08-19,2.59,2.45,2.50,2.51
LINK,2019-08-20,2.54,2.36,2.50,2.38
LINK,2019-08-21,2.39,2.17,2.38,2.22
LINK,2019-08-22,2.29,2.16,2.22,2.23
LINK,2019-08-23,2.31,2.19,2.23,2.25
LINK,2019-08-24,2.26,2.17,2.25,2.19
LINK,2019-08-25,2.19,2.04,2.18,2.09
LINK,2019-08-26,2.16,2.06,2.09,2.08
LINK,2019-08-27,2.16,2.03,2.08,2.11
LINK,2019-08-28,2.11,1.89,2.11,1.90
LINK,2019-08-29,1.90,1.75,1.90,1.78
LINK,2019-08-30,1.89,1.75,1.78,1.81
LINK,2019-08-31,1.85,1.75,1.80,1.79
LINK,2019-09-01,1.80,1.73,1.79,1.78
LINK,2019-09-02,1.89,1.74,1.77,1.83
LINK,2019-09-03,1.93,1.82,1.83,1.85
LINK,2019-09-04,1.86,1.75,1.85,1.79
LINK,2019-09-05,1.86,1.77,1.78,1.80
LINK,2019-09-06,1.82,1.71,1.80,1.73
LINK,2019-09-07,1.81,1.72,1.73,1.78
LINK,2019-09-08,1.90,1.78,1.78,1.83
LINK,2019-09-09,1.87,1.77,1.83,1.80
LINK,2019-09-10,1.83,1.79,1.79,1.80
LINK,2019-09-11,1.83,1.72,1.80,1.73
LINK,2019-09-12,1.75,1.68,1.74,1.71
LINK,2019-09-13,1.71,1.53,1.71,1.58
LINK,2019-09-14,1.64,1.54,1.58,1.57
LINK,2019-09-15,1.65,1.57,1.57,1.62
LINK,2019-09-16,1.64,1.55,1.62,1.58
LINK,2019-09-17,1.66,1.56,1.58,1.63
LINK,2019-09-18,1.85,1.63,1.63,1.81
LINK,2019-09-19,1.91,1.75,1.81,1.88
LINK,2019-09-20,1.88,1.77,1.88,1.83
LINK,2019-09-21,1.89,1.80,1.83,1.89
LINK,2019-09-22,1.89,1.78,1.89,1.82
LINK,2019-09-23,1.89,1.79,1.82,1.81
