Symbol,Date,High,Low,Open,Close
SOL,2020-06-20,0.69,0.63,0.68,0.64
SOL,2020-06-21,0.75,0.64,0.65,0.67
SOL,2020-06-22,0.74,0.65,0.67,0.73
SOL,2020-06-23,0.76,0.70,0.73,0.71
SOL,2020-06-24,0.80,0.69,0.71,0.74
SOL,2020-06-25,0.76,0.70,0.74,0.71
SOL,2020-06-26,0.75,0.68,0.71,0.74
SOL,2020-06-27,0.75,0.68,0.74,0.71
SOL,2020-06-28,0.84,0.69,0.71,0.80
SOL,2020-06-29,0.89,0.77,0.80,0.85
SOL,2020-06-30,1.03,0.85,0.85,0.86
SOL,2020-07-01,0.90,0.82,0.86,0.83
SOL,2020-07-02,0.84,0.75,0.83,0.78
SOL,2020-07-03,0.79,0.76,0.78,0.77
SOL,2020-07-04,0.82,0.76,0.77,0.78
SOL,2020-07-05,0.79,0.64,0.78,0.69
SOL,2020-07-06,0.72,0.69,0.69,0.71
SOL,2020-07-07,0.78,0.70,0.71,0.75
SOL,2020-07-08,0.83,0.74,0.75,0.80
SOL,2020-07-09,0.88,0.76,0.79,0.85
SOL,2020-07-10,0.94,0.84,0.85,0.91
SOL,2020-07-11,0.93,0.86,0.91,0.92
SOL,2020-07-12,1.13,0.91,0.92,1.02
SOL,2020-07-13,1.29,1.01,1.02,1.18
SOL,2020-07-14,1.25,1.12,1.17,1.15
SOL,2020-07-15,1.40,1.14,1.15,1.29
SOL,2020-07-16,1.37,0.86,1.28,0.87
SOL,2020-07-17,1.05,0.80,0.87,0.98
SOL,2020-07-18,1.00,0.93,0.98,0.97
SOL,2020-07-19,0.97,0.90,0.97,0.92
SOL,2020-07-20,0.92,0.85,0.92,0.87
SOL,2020-07-21,1.01,0.86,0.87,0.98
SOL,2020-07-22,1.10,0.97,0.98,1.04
SOL,2020-07-23,1.10,1.00,1.05,1.05
SOL,2020-07-24,1.05,0.97,1.05,1.00
SOL,2020-07-25,1.43,1.00,1.00,1.25
SOL,2020-07-26,1.62,1.24,1.24,1.57
SOL,2020-07-27,2.04,1.56,1.57,1.78
SOL,2020-07-28,1.86,1.61,1.78,1.78
SOL,2020-07-29,2.10,1.59,1.79,1.66
SOL,2020-07-30,1.80,1.64,1.66,1.69
SOL,2020-07-31,1.69,1.51,1.69,1.54
SOL,2020-08-01,1.66,1.50,1.53,1.53
SOL,2020-08-02,1.75,1.41,1.53,1.74
SOL,2020-08-03,1.83,1.67,1.73,1.80
SOL,2020-08-04,1.95,1.79,1.80,1.87
SOL,2020-08-05,1.89,1.71,1.87,1.75
SOL,2020-08-06,2.23,1.75,1.75,2.21
SOL,2020-08-07,2.20,1.89,2.20,2.09
SOL,2020-08-08,2.57,2.03,2.08,2.47
SOL,2020-08-09,2.71,2.30,2.47,2.67
SOL,2020-08-10,3.40,2.53,2.67,3.13
SOL,2020-08-11,3.49,2.75,3.13,3.30
SOL,2020-08-12,3.92,3.10,3.31,3.77
SOL,2020-08-13,4.16,3.53,3.77,3.76
SOL,2020-08-14,3.79,3.33,3.76,3.41
SOL,2020-08-15,3.72,3.17,3.41,3.18
SOL,2020-08-16,3.47,3.14,3.19,3.39
SOL,2020-08-17,3.39,3.09,3.39,3.10
SOL,2020-08-18,3.71,2.89,3.10,3.33
SOL,2020-08-19,3.48,2.84,3.33,2.90
SOL,2020-08-20,3.43,2.90,2.90,3.21
SOL,2020-08-21,3.22,2.91,3.21,2.94
SOL,2020-08-22,3.19,2.76,2.95,3.02
SOL,2020-08-23,3.40,3.02,3.02,3.32
SOL,2020-08-24,3.61,3.22,3.31,3.34
SOL,2020-08-25,3.36,3.03,3.35,3.26
SOL,2020-08-26,3.80,3.19,3.27,3.56
SOL,2020-08-27,3.85,3.29,3.56,3.45
SOL,2020-08-28,4.31,3.45,3.45,4.01
SOL,2020-08-29,4.11,3.79,4.01,3.97
SOL,2020-08-30,4.71,3.92,3.97,4.44
SOL,2020-08-31,4.87,4.11,4.42,4.78
SOL,2020-09-01,4.94,4.34,4.78,4.34
SOL,2020-09-02,4.36,3.71,4.35,4.16
SOL,2020-09-03,4.44,3.53,4.17,3.53
SOL,2020-09-04,3.83,3.20,3.52,3.55
SOL,2020-09-05,3.66,2.19,3.55,2.60
SOL,2020-09-06,3.18,2.29,2.60,3.09
SOL,2020-09-07,3.19,2.39,3.09,2.93
SOL,2020-09-08,2.94,2.40,2.93,2.47
SOL,2020-09-09,3.75,2.39,2.47,3.64
SOL,2020-09-10,3.85,3.32,3.64,3.47
SOL,2020-09-11,3.50,3.04,3.47,3.43
SOL,2020-09-12,3.47,3.15,3.42,3.33
SOL,2020-09-13,3.47,3.01,3.34,3.23
SOL,2020-09-14,3.52,3.09,3.23,3.27
SOL,2020-09-15,3.32,2.92,3.27,2.94
SOL,2020-09-16,2.94,2.45,2.94,2.55
SOL,2020-09-17,2.93,2.37,2.55,2.89
SOL,2020-09-18,3.16,2.74,2.89,3.11
SOL,2020-09-19,3.25,2.97,3.11,3.03
SOL,2020-09-20,3.03,2.72,3.03,2.87
SOL,2020-09-21,3.03,2.50,2.87,2.78
SOL,2020-09-22,2.99,2.67,2.77,2.92
SOL,2020-09-23,3.07,2.75,2.93,2.84
SOL,2020-09-24,3.25,2.80,2.84,3.13
SOL,2020-09-25,3.27,2.91,3.15,3.19
SOL,2020-09-26,3.20,3.04,3.19,3.13
SOL,2020-09-27,3.17,3.01,3.13,3.15
SOL,2020-09-28,3.20,2.94,3.15,2.96
SOL,2020-09-29,3.01,2.90,2.96,2.95
SOL,2020-09-30,2.98,2.84,2.95,2.90
SOL,2020-10-01,2.99,2.66,2.90,2.86
SOL,2020-10-02,2.88,2.46,2.86,2.63
SOL,2020-10-03,2.67,2.55,2.63,2.55
SOL,2020-10-04,2.59,2.43,2.54,2.52
SOL,2020-10-05,2.66,2.47,2.52,2.66
SOL,2020-10-06,2.66,2.15,2.66,2.18
SOL,2020-10-07,2.39,2.10,2.18,2.29
SOL,2020-10-08,2.43,2.03,2.30,2.37
SOL,2020-10-09,2.63,2.32,2.37,2.54
SOL,2020-10-10,2.59,2.40,2.54,2.41
SOL,2020-10-11,2.46,2.34,2.41,2.43
SOL,2020-10-12,2.70,2.42,2.43,2.59
SOL,2020-10-13,2.58,2.35,2.58,2.40
SOL,2020-10-14,2.44,2.25,2.41,2.31
SOL,2020-10-15,2.34,2.20,2.31,2.27
SOL,2020-10-16,2.27,2.13,2.27,2.15
SOL,2020-10-17,2.24,2.13,2.15,2.20
SOL,2020-10-18,2.25,2.18,2.20,2.21
SOL,2020-10-19,2.21,2.05,2.21,2.06
SOL,2020-10-20,2.10,1.85,2.06,1.89
SOL,2020-10-21,2.07,1.86,1.89,1.89
SOL,2020-10-22,2.08,1.89,1.89,1.96
SOL,2020-10-23,1.98,1.85,1.96,1.96
SOL,2020-10-24,1.96,1.88,1.96,1.91
SOL,2020-10-25,1.92,1.77,1.91,1.79
SOL,2020-10-26,1.86,1.63,1.79,1.69
SOL,2020-10-27,1.75,1.61,1.69,1.71
SOL,2020-10-28,1.72,1.39,1.71,1.49
SOL,2020-10-29,1.57,1.41,1.49,1.43
SOL,2020-10-30,1.47,1.34,1.43,1.44
SOL,2020-10-31,1.55,1.43,1.44,1.54
SOL,2020-11-01,1.64,1.51,1.54,1.60
SOL,2020-11-02,1.63,1.47,1.60,1.47
SOL,2020-11-03,1.48,1.41,1.47,1.41
SOL,2020-11-04,1.41,1.28,1.41,1.39
SOL,2020-11-05,1.49,1.30,1.39,1.41
SOL,2020-11-06,1.94,1.40,1.41,1.91
SOL,2020-11-07,2.48,1.84,1.91,2.03
